onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.2487	1.6000	dynamic	25	1	0	79	72	158.2895
7.8790	1.6000	dynamic	25	0	0	79	75	106.1842
12.4765	1.6000	dynamic	25	1	0	79	84	86.8421
17.0739	1.6000	dynamic	25	0	0	79	20	83.2895
21.6701	1.6000	dynamic	25	1	0	79	84	43.0263
26.2685	1.6000	dynamic	25	1	0	79	94	95.5263
30.8658	1.6000	dynamic	25	0	0	79	70	106.1842
35.4802	1.6000	dynamic	25	0	1	176	168	106.1842
40.0767	1.6000	dynamic	25	0	0	176	169	131.4474
44.6746	1.6000	dynamic	25	1	0	176	177	144.8684
49.2889	1.6000	dynamic	25	1	0	176	214	150.0000
53.8864	1.6000	dynamic	25	0	0	176	157	183.9474
58.4828	1.6000	dynamic	25	0	0	176	170	175.2632
63.0811	1.6000	dynamic	25	0	0	176	137	167.3684
67.6784	1.6000	dynamic	25	1	0	176	208	142.5000
72.2756	1.6000	dynamic	25	1	0	176	187	191.8421
76.8899	1.6000	dynamic	25	1	0	176	170	184.3421
81.5030	1.6000	dynamic	25	1	0	176	161	177.2368
86.1012	1.6000	dynamic	25	1	0	176	192	174.4737
90.6987	1.6000	dynamic	25	1	0	176	179	180.3947
95.3116	1.6000	dynamic	25	1	0	176	192	172.8947
99.9267	1.6000	dynamic	25	1	0	176	182	187.5000
104.5244	1.6000	dynamic	25	0	0	176	162	185.5263
109.1382	1.6000	dynamic	25	1	0	176	120	179.2105
113.7523	1.6000	dynamic	25	1	0	176	170	135.7895
118.3666	1.6000	dynamic	25	0	0	176	191	163.4211
122.9808	1.6000	dynamic	25	0	0	176	165	160.6579
127.5946	1.6000	dynamic	25	0	0	176	138	163.8158
132.2086	1.6000	dynamic	25	0	0	176	145	161.0526
136.8229	1.6000	dynamic	25	1	0	176	189	144.8684
141.4203	1.6000	dynamic	25	1	0	176	200	181.5789
146.0343	1.6000	dynamic	25	0	0	176	236	175.2632
150.6472	1.6000	dynamic	25	0	0	176	194	206.8421
155.2625	1.6000	dynamic	25	1	0	176	198	206.4474
159.8766	1.6000	dynamic	25	1	0	176	187	204.8684
164.4906	1.6000	dynamic	25	0	1	20	32	199.7368
169.1047	1.6000	dynamic	25	1	0	20	23	50.9211
173.7179	1.6000	dynamic	25	0	0	20	34	46.9737
178.3321	1.6000	dynamic	25	1	0	20	27	54.0789
182.9471	1.6000	dynamic	25	0	0	20	24	24.8684
187.5767	1.6000	dynamic	25	1	0	20	0	24.0789
192.1918	1.6000	dynamic	25	1	0	20	54	9.8684
196.8052	1.6000	dynamic	25	0	0	20	33	68.6842
201.4203	1.6000	dynamic	25	1	0	20	74	68.6842
206.0343	1.6000	dynamic	25	0	0	20	25	80.1316
210.6483	1.6000	dynamic	25	0	0	20	13	72.6316
215.2613	1.6000	dynamic	25	0	0	20	19	52.8947
219.8764	1.6000	dynamic	25	0	0	20	1	47.3684
224.4905	1.6000	dynamic	25	0	0	20	27	61.1842
229.1046	1.6000	dynamic	25	0	0	20	19	50.5263
233.7175	1.6000	dynamic	25	1	0	20	5	42.6316
238.3326	1.6000	dynamic	25	1	0	20	3	30.3947
242.9470	1.6000	dynamic	25	1	0	20	4	29.2105
247.5602	1.6000	dynamic	25	0	0	20	34	37.1053
252.1751	1.6000	dynamic	25	1	0	20	68	46.9737
256.7893	1.6000	dynamic	25	0	0	20	24	43.8158
261.4038	1.6000	dynamic	25	0	1	74	53	23.2895
266.0174	1.6000	dynamic	25	1	0	74	90	46.5789
270.6315	1.6000	dynamic	25	0	0	74	68	105.0000
275.2455	1.6000	dynamic	25	1	0	74	98	93.9474
279.8600	1.6000	dynamic	25	0	0	74	75	111.3158
284.4737	1.6000	dynamic	25	1	0	74	63	95.9211
289.0868	1.6000	dynamic	25	1	1	130	202	92.7632
293.7522	1.6000	dynamic	25	0	0	130	73	197.3684
298.3651	1.6000	dynamic	25	1	0	130	134	78.1579
302.9794	1.6000	dynamic	25	0	0	130	127	126.7105
307.5946	1.6000	dynamic	25	0	0	130	123	125.9211
312.2085	1.6000	dynamic	25	0	0	130	104	125.1316
316.8227	1.6000	dynamic	25	1	0	130	104	108.5526
321.4524	1.6000	dynamic	25	1	0	130	132	106.9737
326.0676	1.6000	dynamic	25	0	0	130	168	115.2632
330.6982	1.6000	dynamic	25	1	0	130	150	155.1316
335.3123	1.6000	dynamic	25	0	0	130	117	142.8947
339.9263	1.6000	dynamic	25	0	0	130	110	143.2895
344.5397	1.6000	dynamic	25	1	0	130	130	139.7368
349.1716	1.6000	dynamic	25	1	0	130	168	139.7368
353.8022	1.6000	dynamic	25	1	0	130	102	161.8421
358.4329	1.6000	dynamic	25	0	0	130	127	129.0789
363.0459	1.6000	dynamic	25	1	0	130	150	128.2895
367.6766	1.6000	dynamic	25	1	0	130	91	129.8684
372.3089	1.6000	dynamic	25	1	0	130	148	105.7895
376.9395	1.6000	dynamic	25	0	0	130	133	136.1842
381.5705	1.6000	dynamic	25	0	0	130	91	137.3684
386.2012	1.6000	dynamic	25	0	0	130	153	129.8684
390.8307	1.6000	dynamic	25	0	0	130	133	147.2368
395.4629	1.6000	dynamic	25	0	0	130	110	147.2368
400.0939	1.6000	dynamic	25	1	0	130	102	124.3421
404.7244	1.6000	dynamic	25	1	0	130	121	100.2632
409.3554	1.6000	dynamic	25	0	0	130	131	115.2632
413.9849	1.6000	dynamic	25	0	0	130	146	139.7368
418.6171	1.6000	dynamic	25	0	0	130	112	146.0526
423.2478	1.6000	dynamic	25	1	0	130	63	121.1842
427.8772	1.6000	dynamic	25	0	0	130	153	101.8421
432.5092	1.6000	dynamic	25	0	0	130	164	138.9474
437.1394	1.6000	dynamic	25	0	0	130	154	147.6316
441.7710	1.6000	dynamic	25	0	0	130	158	142.5000
446.4017	1.6000	dynamic	25	0	0	130	146	155.5263
451.0313	1.6000	dynamic	25	0	0	130	108	156.3158
455.6626	1.6000	dynamic	25	0	0	130	109	133.4211
460.2940	1.6000	dynamic	25	1	0	130	131	129.8684
464.9251	1.6000	dynamic	25	1	0	130	121	135.3947
469.5559	1.6000	dynamic	25	0	0	130	126	133.0263
474.1867	1.6000	dynamic	25	1	0	130	125	128.6842
478.8176	1.6000	dynamic	25	1	0	130	161	124.3421
483.4472	1.6000	dynamic	25	0	0	130	113	142.5000
488.0791	1.6000	dynamic	25	0	0	130	103	125.9211
492.7091	1.6000	dynamic	25	0	0	130	131	129.4737
497.3408	1.6000	dynamic	25	1	0	130	118	136.5789
501.9708	1.6000	dynamic	25	1	0	130	146	116.4474
506.6024	1.6000	dynamic	25	1	1	93	89	134.2105
511.2330	1.6000	dynamic	25	0	0	93	95	122.3684
515.8640	1.6000	dynamic	25	1	0	93	69	124.3421
520.4950	1.6000	dynamic	25	0	0	93	92	96.3158
525.1254	1.6000	dynamic	25	0	0	93	79	105.0000
529.7565	1.6000	dynamic	25	1	0	93	80	95.1316
534.3872	1.6000	dynamic	25	0	0	93	136	91.1842
539.0171	1.6000	dynamic	25	0	0	93	71	108.1579
543.6488	1.6000	dynamic	25	0	0	93	120	98.6842
548.2796	1.6000	dynamic	25	0	0	93	99	106.5789
552.9105	1.6000	dynamic	25	0	0	93	117	106.9737
