onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.2572	1.6000	dynamic	10	0	0	148	148	151.1842
7.8996	1.6000	dynamic	10	1	0	148	159	144.4737
12.5088	1.6000	dynamic	10	1	0	148	153	153.1579
17.1189	1.6000	dynamic	10	1	0	148	148	154.7368
21.7270	1.6000	dynamic	10	1	0	148	150	153.5526
26.3378	1.6000	dynamic	10	1	0	148	144	153.1579
30.9471	1.6000	dynamic	10	1	0	148	128	148.4211
35.5565	1.6000	dynamic	10	0	0	148	148	143.2895
40.1649	1.6000	dynamic	10	0	0	148	161	148.0263
44.7747	1.6000	dynamic	10	1	0	148	154	155.1316
49.3849	1.6000	dynamic	10	1	0	148	142	155.9211
54.0110	1.6000	dynamic	10	1	0	148	142	153.9474
58.6208	1.6000	dynamic	10	0	0	148	146	152.3684
63.2297	1.6000	dynamic	10	0	0	148	152	149.2105
67.8384	1.6000	dynamic	10	0	0	148	143	149.6053
72.4479	1.6000	dynamic	10	0	0	148	163	148.0263
77.0576	1.6000	dynamic	10	1	0	148	135	157.1053
81.6672	1.6000	dynamic	10	0	0	148	144	146.0526
86.2766	1.6000	dynamic	10	1	0	148	148	147.6316
90.8868	1.6000	dynamic	10	0	0	148	139	146.0526
95.4954	1.6000	dynamic	10	0	0	148	149	141.7105
100.1055	1.6000	dynamic	10	0	1	158	172	147.6316
104.7144	1.6000	dynamic	10	1	0	158	153	159.4737
109.3250	1.6000	dynamic	10	0	0	158	160	153.9474
113.9343	1.6000	dynamic	10	0	1	141	154	157.1053
118.5436	1.6000	dynamic	10	0	0	141	133	153.1579
123.1533	1.6000	dynamic	10	1	0	141	126	141.7105
127.7618	1.6000	dynamic	10	0	1	3	11	130.6579
132.3712	1.6000	dynamic	10	0	0	3	15	16.1842
136.9817	1.6000	dynamic	10	0	0	3	15	17.7632
141.5910	1.6000	dynamic	10	0	0	3	6	13.8158
146.2005	1.6000	dynamic	10	1	0	3	2	15.3947
150.8269	1.6000	dynamic	10	0	0	3	11	13.8158
155.4353	1.6000	dynamic	10	1	0	3	4	10.6579
160.0613	1.6000	dynamic	10	1	0	3	13	12.6316
164.6720	1.6000	dynamic	10	1	0	3	8	15.0000
169.2815	1.6000	dynamic	10	1	0	3	8	17.7632
173.9080	1.6000	dynamic	10	1	0	3	5	15.0000
178.5330	1.6000	dynamic	10	0	0	3	2	17.7632
183.1604	1.6000	dynamic	10	1	0	3	3	8.6842
187.7698	1.6000	dynamic	10	1	0	3	7	9.0789
192.3959	1.6000	dynamic	10	0	0	3	4	9.4737
197.0209	1.6000	dynamic	10	0	1	122	135	9.0789
201.6481	1.6000	dynamic	10	0	0	122	138	136.9737
206.2745	1.6000	dynamic	10	0	0	122	122	140.5263
210.8995	1.6000	dynamic	10	1	0	122	131	129.0789
215.5260	1.6000	dynamic	10	1	1	238	227	133.8158
220.1523	1.6000	dynamic	10	1	0	238	218	219.8684
224.7794	1.6000	dynamic	10	1	0	238	236	217.5000
229.4056	1.6000	dynamic	10	1	1	87	92	227.7632
234.0309	1.6000	dynamic	10	1	0	87	94	99.0789
238.6572	1.6000	dynamic	10	0	0	87	99	96.7105
243.2842	1.6000	dynamic	10	0	0	87	97	94.7368
247.9094	1.6000	dynamic	10	1	0	87	100	93.9474
252.5372	1.6000	dynamic	10	1	0	87	73	92.7632
257.1621	1.6000	dynamic	10	1	0	87	82	90.3947
261.7893	1.6000	dynamic	10	1	0	87	101	89.2105
266.4154	1.6000	dynamic	10	1	0	87	92	95.1316
271.0409	1.6000	dynamic	10	1	0	87	91	52.5000
275.6679	1.6000	dynamic	10	1	0	87	98	82.5000
280.2941	1.6000	dynamic	10	1	0	87	86	95.9211
284.9193	1.6000	dynamic	10	0	0	87	85	91.5789
289.5462	1.6000	dynamic	10	1	0	87	71	90.0000
294.1719	1.6000	dynamic	10	1	0	87	77	83.6842
298.7990	1.6000	dynamic	10	1	0	87	83	87.2368
303.4254	1.6000	dynamic	10	1	0	87	100	78.9474
308.0516	1.6000	dynamic	10	1	0	87	80	91.1842
312.6777	1.6000	dynamic	10	1	1	63	64	82.1053
317.3029	1.6000	dynamic	10	0	0	63	67	80.5263
321.9292	1.6000	dynamic	10	1	0	63	66	71.0526
326.5556	1.6000	dynamic	10	1	0	63	67	68.6842
331.1836	1.6000	dynamic	10	0	0	63	59	70.2632
335.8090	1.6000	dynamic	10	1	0	63	74	68.2895
340.4341	1.6000	dynamic	10	1	0	63	77	65.9211
345.0608	1.6000	dynamic	10	0	1	174	167	73.0263
349.6877	1.6000	dynamic	10	0	0	174	182	161.8421
354.3140	1.6000	dynamic	10	1	0	174	158	172.8947
358.9561	1.6000	dynamic	10	1	0	174	173	161.0526
363.5828	1.6000	dynamic	10	1	0	174	168	177.2368
368.2081	1.6000	dynamic	10	0	1	9	25	175.6579
372.8354	1.6000	dynamic	10	0	0	9	9	34.7368
377.4610	1.6000	dynamic	10	1	0	9	1	18.9474
